node_id,level,n_leaves,label,top_dishes
N78299,0,1841,fish dishes,fish taco; chips fish; grilled salmon; salmon teriyaki; fish sandwich; grilled tilapia; ancho salmon; fish fried
N77136,2,58,chicken and cheese sandwiches,buffalo chicken melt sandwich; california chicken club sandwich; cali club sandwich; deli italian sandwich; italian panini sandwich; big dipper melt sandwich; club panini sandwich; cheese egg meat sandwich
N77441,2,16,ribeye steak cuts,bone ribeye steak; boneless ribeye steak; bone eye rib steak; bone eye rib; bone prime ribeye steak usda; bone cowboy ribeye steak; angus prime ribeye; eye grade prime rib steak
N76923,2,117,chicken burrito bowls,bowl burrito chicken; bowl burrito chicken southwest; bowl chicken chipotle fresh mex; bowl cabana no shell; bowl chicken fresca; baja bowls; bowl chicken southwest; bowl burrito chicken fajita
N78143,1,213,pork dishes,chicharron egg taco; burrito chicharron; center chops cut pork; chicharron egg plate; chicharron egg; louis ribs spareribs st style; bean curd dry pork shredded; beef milaneza
N78142,1,94,seafood dishes,boy oyster po; basket fried oyster; fried oyster; green mussel; black mussel; clam strips; fried oyster platter; alle linguine pasta vongole
N76823,2,25,rib eye steak dishes,eye rib steak; eye rib; bacon eye jam rib steak; eye rib sandwich steak; eggs eye rib steak; eye fajita rib; eye only oz rib steak; eye rib shrimp steak
N78044,1,311,fried rice dishes,fried rice shrimp; beef fried rice; fried rice vegetable; combination fried rice; fried rice veggie; fried pork rice roast; crab fried rice; fried pasta rice shrimp
N77249,2,24,baby back ribs dishes,baby back ribs; baby back rack ribs; baby back glazed rack ribs; baby back glazed ribs; baby back bbq ribs; baby back bbq rack ribs; baby backs chicken finger platter; baby back plate ribs
N75598,2,18,impossible burger dishes,burger impossible; burger impossible whopper; burger cheeseburger impossible; cheeseburger impossible sandwich; impossible whopper; burger impossible original; burger cheese impossible original; burger impossible sandwich
N77511,2,74,chicken zucchini pesto dishes,chicken pie pot; enchiladas poblanas; chicken grilled orange pasta zucchini; chicken grilled pasta pesto zucchini; bowl chicken grilled pesto zucchini; alfredo bowl chicken grilled montamore zucchini; bowl chicken grilled rosa zucchini; bowl chicken cream garlic grilled roasted zucchini
N77486,2,93,beef steak dishes,club steak wrap; cheesesteak omelette philly; ribeye sandwich steak; ribeye sandwich; hibachi scallop steak; lobster steak; philly steak wrap; black pepper steak
N77452,2,88,burger varieties,bacon burger cheeseburger; bacon burger; bacon burger cheeseburger ultimate; cheeseburger grilled stacked; bacon burger cheeseburger supersonic; burger cheeseburger texas; burger jalapeno; burger outback
N75955,2,48,ribeye steak dishes,classic ribeye; bbq korean spicy steak; grilled ribeye; cut hand ribeye signature steak; chicken steak tenders; oz ribeye steak; grilled ribeye steak tuscan; cut hand oz ribeye signature steak
N76765,2,65,Asian chicken dishes,chicken katsu; chicken moo shu; chicken egg roll; chicken dumplings; chicken oriental salad sandwich wrap; chicken katsu teriyaki; chicken mu shu; chicken gyoza
N77259,2,77,potato based dishes,potato soft spicy taco; burrito chicken potato; potato taco; guisada taco; la mexicana papa taco; burrito potato; potato sweet taco; potato ranchero taco
N77437,2,213,fried chicken dishes,boneless wings; chick fil nuggets; chicken hot nashville sandwich; buffalo chicken popcorn sauced; buttermilk chicken crispy; chicken sandwich southern; hot nashville tenders; chicken crispers crispy
N76886,2,118,alfredo-based dishes,alfredo fettuccine pasta; alfredo chicken pasta; alfredo pizza; alfredo chicken fettuccine pasta; alfredo pizza spinach; alfredo chicken fettuccine; alfredo chicken; alfredo pasta
N77371,2,240,chicken wraps and sandwiches,italian wrap; bacon baja chicken melt sandwich; soft taco; cheesy crunch gordita; caesar chicken wrap; chicken club wrap; chick cool fil wrap; buffalo chicken ranch wrap
N77049,2,118,spicy chicken curries,chicken kadai; chicken curry kadai; chicken karahi; chicken curry vindaloo; chicken jalfrezi; andhra chicken curry; chicken mughlai; chicken methi
N77015,2,166,Mexican enchilada dishes,enchiladas; cheese enchiladas; enchilada plate; chicken enchiladas; enchiladas rancheras; enchiladas mexicanas; enchiladas rojas; enchiladas supreme
N78148,1,139,poultry and organ meats,chicken rotisserie style wrap; bowl chicken rotisserie style; duck peking; duck roast; chicken gizzard; chicken quarter rotisserie white; chicken quarter; chicken liver
N77271,2,50,salads and wraps,chopped cobb salad; buffalo salad wedge; blue buffalo zalad; caesar chicken classic grilled salad; blackened blue zalad; chef salad; garden lunch salad; border roll
N78023,1,301,mexican beef dishes,baja bowl jack steak; asada carne; asada carne taco; fajita steak; beef fajita; asada burrito carne; beef fajita taco; beef quesadilla
N77306,2,72,mexican fajita dishes,meats sandwich sub supreme; fajita trio; fajita mixta; chicken fajita steak; beef chicken fajita; combination fajita; beef chicken fajita shrimp; mixtos taco
N77425,2,188,chicken grilled dishes,chicken grilled margarita; chicken tikka; chicken jalapeno; chicken enlightened lemon thyme; chicken classic pizza; chicken kebab tikka; chicken chipotle sweet; chicken smoked
N77050,2,79,Indian chicken curries,chicken masala tikka; butter chicken; chicken korma; chicken curry masala tikka; butter chicken curry; chicken curry korma; butter chicken masala; chicken makhani
N78178,1,633,sushi rolls and bowls,roll spicy tuna; philadelphia roll; avocado roll; roll tuna; cucumber roll; alaska roll; roll volcano; roll sushi
N77026,2,42,Korean BBQ ribs,beef ribs teriyaki; galbi la; kalbi; bbq korean wings; kalbi ribs; beef grilled ribs; boneless galbi; boneless galbi spicy
N78083,1,152,savory indian snacks,dosa masala; dosa masala mysore; dosa onion; samosa; takoyaki; aloo paratha; cheese dosa; tteokbokki
N76465,2,188,Philly cheesesteak dishes,bowl cheese steak; cheesesteak philly; cheese philly sandwich steak; philly steak; big cheese kahuna steak sub; cheese philly sandwich stacker steak; cheese portabella steak sub; philly sandwich
N77228,2,111,chicken stir fry dishes,broccoli chicken; chicken general tso; chicken sesame; chicken mixed vegetables; broccoli chicken steamed; chicken mixed steamed vegetables; chicken steamed vegetables; chicken fry stir
N76440,2,198,cheeseburger variations,bacon big burger cheddar cheeseburger; bacon bourbon burger cheeseburger; bacon cheeseburger; bacon burger cheese; burger curly fry sriracha; bacon burger chile hatch smashed; bacon burger cheeseburger western; cheeseburger mega monster
N75288,2,43,chicken salad dishes,chicken grilled salad; chicken harvest salad; mediterranean salad; chicken harvest salad sandwich; chicken fried platter salad southern tender; chicken garden grilled salad; breast chicken salad; chicken grilled salad tuscan
N77125,2,14,chicken crepe dosa dishes,chicken dosa; chicken dosa tikka; chicken crepes florentine; chicken dosa kheema; dosa pizza; dosa schezwan; chicken crepe grilled; chicken chilli dosa
N76622,2,32,chicken waffle dishes,chicken waffles; chipotle crispers honey waffles; chicken sandwich waffle; chicken fried waffles; chicken eggs waffle; chicken fried waffle; bowl waffle; baby chicken sandwich waffles
N77308,2,49,turkey dishes,oven roasted turkey wrap; bowl oven roasted turkey; ham oven roasted turkey wrap; bowl ham oven roasted turkey; breast plate turkey; hot sandwich turkey; jamaican jerk med sub turkey; burger colorado turkey
N77230,2,143,teriyaki chicken dishes,chicken teriyaki; chicken orange; chicken peas snow; chicken sandwich teriyaki; breast chicken teriyaki; asparagus roll; chicken flavored orange; banzai burger
N72354,2,30,spicy chicken naan wraps,chicken roll tikka; platter tandoori; kabab roll; mix platter tandoori; tikka wrap; chicken naan; bowl bread chicken naan tikka; boti chicken malai roll wrap
N76879,2,172,chicken dishes,chicken fresco pizza; pizza sup supreme; cacciatore chicken; bowl chicken pizziola; chicken pizziola wrap; chipotle pollo; chicken mole; diabla la pollo
N76464,2,274,cheeseburger variations,burger cheeseburger; cheeseburger; burger cheese; burger cheeseburger jack; burger cheeseburger sonic; burger cheeseburger deluxe; burger meat whataburger; all american burger cheeseburger
N77474,2,12,sirloin beef cuts,oz sirloin top; center cut sirloin steak; center cut gf sirloin steak; choice oz sirloin usda; american beef roast wagyu; choice sirloin steak usda; center cut sirloin; baseball cut farms river sirloin snake steak top wagyu
N76147,2,7,rib tip dishes,app rib tips; prime rib roasted tips; rib spare tips; plate rib tips; bbq rib spare tips; bbq rib tip; dessie ribs special tips yebeg
N77401,2,59,beef dishes,beef roast wrap; sirloin steak tips; beef platter wholotta; beef stroganoff; beef fresh mushroom; bomb burger; bistek encebollado; beef tips
N77184,2,25,angus beef dishes,angus beef black roast spud; angus black steak sub; cowboy steak; angus black steakhouse sub; angus black flat iron steak; angus steak; angus oz steak york; angus beef burger certified patty
N75194,2,18,beef curry dishes,beef curry red; beef curry green; beef curry thai; beef satay; beef curry red thai; beef bowl curry; beef curry saigon; beef cumin sauteed
N76478,2,20,sirloin steak dishes,avocado classic grilled oz sirloin; sirloin taco; burrito surf turf; quesadilla sirloin; quesadilla sirloin super; burrito sirloin; fajita grilled platter steak; chopped sirloin street style taco
N75988,2,10,flat iron steaks,flat iron steak; bowl flat grain iron power steak; flat iron scallops steak; flat iron local steak; flat gs iron steak; flatiron steak; flat iron steak wagyu; flat iron wagyu
N77446,2,107,burger varieties,bacon big burger classic; burger whopper; burger stack; baconator burger; baconator burger son; burger whataburger; burger cheeseburger plain sonic; bacon burger cheese whataburger
N77419,2,59,steak dishes,cali fresh sandwich steak sub; sandwich steak; beef sandwich sliced; bowl club steak; cheddar sandwich steak white; burger dip french philly; peppercorn sammie steak; hibachi salmon steak
N76227,2,193,chicken and rice dishes,arroz con pollo; engineer sub; chori pollo; loco pollo; bowl chicken spicy; bowl chicken queso; bowl chicken cholula hot sweet; burger madlove
N75790,2,32,spinach chicken dishes,chicken saag; chicken curry saag; salad spinach; chicken saagwala; chicken palak; chicken curry palak; pizza popeye; chicken saag tikka
N77482,2,100,steak dishes,asada burrito carne; burrito southwest steak; asada plate; steak tampiquena; carne tampiquena; asada carne tostada; asada camarones carne con; burrito grilled steak
N76671,2,19,prime rib sandwiches,prime rib sandwich; dipper prime rib sandwich; dip prime rib; dip philly prime rib; prime rib sandwich shaved; dip philly prime rib sandwich style; cut prime rib; grilled prime rib sandwich
N76899,2,44,pork rib dishes,plate pork rack rib; applebee platter riblets; outback platter ribs; plate rack rib; costilla plate; costillas en salsa verde; plate ribs slab; pork ribs salsa verde
N77234,2,40,New York steak dishes,steak strip york; steak york; bone steak strip york; ny oz strip; ny steak strip; eggs steak york; lobster ny steak; eggs oz steak york
N76994,2,71,beef rice bowls,beef bowl; beef bento; beef kabob plate; beef bowl burrito fajita; bowl bulgogi; beef hibachi; beef bento teriyaki; beef grilled plate rice
N74450,2,9,sirloin steak dishes,oz sirloin steak top; country fried sirloin steak top; eggs sirloin steak top; grilled sirloin top; sirlion top; choice sirloin steak top usda; baseball cut sirloin steak top; northwest sirloin top
N76321,2,73,BBQ chicken dishes,bbq chicken; bbq burger river whiskey; chicken pulled sandwich; bbq chicken river sandwich whiskey; bacon bbq chicken pizza; bbq boneless smoky wings; bbq chicken pulled sandwich; barbeque chicken free gluten
N77344,2,9,ribeye steak cuts,ribeye wagyu; ribeye steak tomahawk; ribeye tomahawk; bayou pork ribeye; steak tomahawk; pork ribeye steak; grilled pork ribeye; bourbon pork ribeye steak
N75837,2,84,beef stir fry dishes,pepper steak; beef garlic sauce; onion pepper steak; beef hot spicy; beef garlic; kabobs steak; beef ginger; beef fried stir
N75337,2,16,prime rib dishes,classic dip prime rib; classic prime rib steak; outback prime rib steak style; prime rib steak; cowboy cut prime rib; crusted herb prime rib roasted; beef prime roast; dip french prime rib
N77487,2,26,meat and seafood steaks,filet mignon steak; melbourne porterhouse steak; salmon steak; oz porterhouse steak; filet grilled mignon; catfish steak; grilled salmon steak; bistec de palomilla
N77020,2,52,sirloin steak dishes,classic sirloin; sirloin steak; center cut outback sirloin steak; center cut outback platter sirloin; oz sirloin steak; grilled sirloin steak; grilled sirloin steak tuscan; rollups steak
N77529,2,86,steak dishes,bacon cheddar steak; la mexicana steak; mongolian steak; bistec lo pobre; scallop steak; egg plate steak; skillet steak; sandwich stack steak
N77479,2,43,steak and egg dishes,cheese egg steak wrap; big omelette steak; shrimp steak; egg steak taco; fajita shrimp steak; burrito egg steak; breakfast burrito steak; oz sirloin surf trio turf
N76728,2,42,steak dishes,bourbon steak street; fingers steak; breaded steak; bistec; beef ranchero steak; beef cheese sandwich steak; chop steak; beef steak teriyaki
N78137,1,354,breakfast pancakes and waffles,caramel chocolate hot; buttermilk original pancakes; buttermilk pancakes; belgian waffle; waffle; blueberry pancakes; pancakes syrup; banana pancakes strawberry
N76901,2,83,lamb curry dishes,korma lamb; lamb saag; josh lamb rogan; curry korma lamb; curry lamb saag; kadai lamb; kabab lamb tikka; lamb masala
N71507,2,12,spicy goat curries,curry goat; curry goat karahi; goat josh rogan; curry goat railway; curry goat karaikudi; dum gosht ka; curry goat karahi peshawari; bone curry goat
N75395,2,10,arrachera beef dishes,arrachera taco; arrachera steak; arrachera asada carne; arrachera de taco; arrachera carne; arrachera steak taco; arrachera fajitas; arrachera camarones con
N77408,2,99,beef dishes,onion steak sweet teriyaki wrap; beef kung pao; beef orange; ranchero steak; beef moo shu; steak teriyaki; beef black pepper; beef green pepper
N77047,2,47,steak sandwiches subs,cheese sandwich steak sub; onion sandwich steak sub sweet teriyaki; bowl onion steak sweet teriyaki; cheddar sandwich steak toasted white; breakfast cheese egg sandwich steak sub; peppercorn steak sub; cheddar chipotle steak sub; egg sandwich steak
N76716,2,25,steak rice bowls,fried rice steak; hibachi shrimp steak; bowl steak teriyaki; border bowl grilled steak; hibachi rice spicy steak; la mexicana plate steak; mexican steak style; camarones con steak
N77363,2,94,steak dishes,baja jack sandwich steak sub; baja jack steak wrap; bowl cali fresh steak; baja jack melt sandwich steak; avocado cali fresh sandwich sliced steak sub; burrito steak; avocado cali fresh sliced steak wrap; cheese chipotle signature southwest steak wrap
N51826,2,4,picanha dishes,picanha; garlic picanha; picanha steak; picanha spicy
N76893,2,85,BBQ pork ribs,bbq ribs; pork ribs; baby back pork ribs; outback ribs; rack ribs; louis platter ribs st; bone fall off ribs stack; ribs slab
N77155,2,24,steak dishes,hibachi steak; shrimp steak teriyaki; bowl burrito steak; hibachi ribeye; eye maki rib; bowl dynamite korean mayo steak; bento steak teriyaki; bowl ribeye sesame
N77090,2,31,spiced lamb dishes,karahi lamb; jalfrezi lamb; curry karahi lamb; daal gosht; curry gosht palak; curry daal gosht; gosht palak; curry green lamb spinach
N75827,2,64,carne asada dishes,asada carne; asada carne taco; asada carne plate; asada carne fajita; asada carne platter taco; asada la mexicana taco; al beef carbon taco; asada carne de steak taco
N73928,2,12,gyro dishes,beef falafel gyro sandwich; beef falafel gyro platter; eggs gyro meat; bowl gyro veggie; cheese egg gyro meat sandwich; gyro onions panini peppers sandwich; beef gyro lamb ny style wrap; carved gyro hand sandwich
N76191,2,16,Middle Eastern meat dishes,beef biryani; kabob lamb plate shish; beef kabab over plate rice; beef kabob rice; biryani lamb peshawari; kabab lamb shish wrap; beef curry jalfrazie; lamb over rice salad
N76610,2,49,steak Mexican dishes,quesadilla steak; steak taco; asada taco; fajita steak taco; bistec taco; beef enchiladas fajita; chimichanga steak; steak street taco
N76751,2,23,beef dishes,beef mushroom; tibs zilzil; beef souvlaki; beef kebab wrap; beef tibs; bulgogi rice; beef bulgogi korean; bulgogi hot pot
N77385,2,55,veggie burger dishes,patty sandwich sub veggie; bacon burger stack; burger meat whataburger whatameal; bacon burger cheese whataburger whatameal; beyond burger; beyond burger ring rodeo; baja beach beyond burger; beyond burger wraptor
N77490,2,87,meat dishes,beef egg foo young; picadillo taco; baconzilla burger; picadillo; lovers meat skillet; meaty mighty pizza; meat pie; picadillo tostada
N76583,2,38,beef dishes,picadillo plate; loco moco; bowl cauliflower kabob rice steak; basil beef thai; kabob kafta wrap; bell peppers stuffed; bowl picadillo; beef bowl korean
N77458,2,57,lamb curry dishes,curry lamb; lamb vindaloo; curry lamb vindaloo; lamb madras; lamb plate; chettinad lamb; hot lamb pot; curry lamb madras
N77476,2,108,beef fajita dishes,baja bowl jack steak; fajita steak; beef fajita; beef fajita taco; beef quesadilla; fajita quesadilla steak; beef fajita plate; asada carne quesadilla
N76395,2,47,lamb kebabs,kabab seekh; kabab lamb seekh; bowl lamb meatball spicy; adana kebab; kabob kubideh; ground kabob lamb; kafta kebab; kafta shish
N77465,2,37,beef tenderloin dishes,grilled marinated tenders texas true; beef tenderloin; beef filet tenderloin; beef tataki; steak tenderloin; steak tartare; filet medallions mignon; au poivre steak
N76590,2,16,turkey panini sandwiches,panini pesto sandwich turkey; panini roasted sandwich turkey; panini sandwich spicy turkey; italian sandwich turkey; panini turkey; cajun sandwich turkey; caprese sandwich turkey; panini sandwich savory turkey
N76644,2,45,Asian fusion rolls,chicken enlightened noodles peanut soba spicy; rolls spring; bun ga nuong; marvelous roll sushi; chicken grilled rolls spring; roll samantha sushi; nola pizza rolls; bun cha ga gio nuong
N76314,2,42,meatball dishes,marinara meatball wrap; meat mozza wrap; firehouse meatball sub; meatball provolone; meatballs; meatball pepperoni pizza; meatball parmesan sandwich spicy; italian meatball
N77395,2,42,beef rib dishes,beef ribs; rib sandwich; plate rib; braised rib; beef braised ribs; beef plate ribs; burger kickin rib; rib taco
N77024,2,6,strip steak cuts,strip wagyu york; bone city kansas prime steak strip; prime steak strip usda york; city kansas steak strip; angus black steak strip york; aged angus beef certified strip york
N75808,2,43,taco varieties,crunchy taco; crunchy supreme taco; chalupa supreme; cheese doritos locos nacho taco; cheese doritos locos nacho supreme taco; beef taco; beef ground taco; beef chalupa ground
N75597,2,50,lamb gyro dishes,kabob lamb; gyro lamb; lamb sandwich shawarma; kabob lamb plate; beef gyro lamb; gyro lamb plate; lamb pita rustic; lamb shawarma wrap
N76210,2,24,burger melt sandwiches,burger melt patty; melt patty sandwich; burger jack sourdough; classic diner melt patty sandwich; burger dirty melt patty; burger grilled melt patty; frisco melt; burger sourdough
N76988,2,75,beef dishes,carne guisada; bbq cowboy; burger oldtimer; beef stew; beef chopped plate; beef curry massaman; beef gravy; beef tamale
N76746,2,36,lamb rice dishes,biryani lamb; lamb masala tikka; curry lamb masala tikka; biryani dum lamb; curry lamb mango; aromatic biryani lamb; curry korma lamb shahi; biryani classic lamb
N76922,2,43,beef Mexican dishes,beef enchiladas plate; carne la mexicana plate; fajita plate steak; beef steak taco; fajita skirt steak; beef fajita grilled; beef burrito chimichanga; beef street taco
N77389,2,145,mexican beef dishes,bean black crunchwrap supreme; beefy burrito melt; crunchwrap supreme; cheese cheesy crunch doritos gordita nacho; beef burrito; mexican pizza; beef crispy taco; burrito cheese chili
N75606,2,33,spare ribs dishes,cayenne ribs spare spicy; ribs spare; ribs sour spare sweet; bbq ribs spare; pepper ribs salt spare; classic ribs spare; louis ribs spare st; cumin ribs spare
N76018,2,31,beef stuffed pastries,beef empanada; beef pasta ravioli; beef dumpling onion; beef empanada ground; pelmeni; beef ground pastelito; paratha qeema; arepa beef
N77439,2,100,spicy chicken curry dishes,chicken curry rice; chicken coconut curry; chicken coconut curry thai; chicken curry thai; curry red thai; curry rice; chicken curry over rice; bowl chicken curry
N77245,2,104,ground beef dishes,meatloaf; jack melt patty pepper sandwich; chopped steak; beef kabab seekh; housemade meatloaf; chopped eggs steak; grilled meatloaf; homestyle meatloaf
N77252,2,92,goat curry dishes,goat vindaloo; goat korma; curry goat korma; curry goat vindaloo; curry goat gongura; goat saag; curry goat masala; curry goat saag
N77503,2,102,beef dishes,beef mongolian; beef hunan; cheese chipotle steak sub; beef hunan style; beef burrito potato; ropa vieja; gf mongolian steak; carne frita
N77393,2,33,lamb chop dishes,chops lamb; chops grilled lamb; chops lamb plate; chops lamb tandoori; chop lamb rack; australian chops lamb; chop lamb masala; lamb lollipops
N77391,2,44,meatball dishes,kabob kafta plate; bowl cauliflower lamb meatball rice; grape leaves stuffed; kabob koobideh plate; kabob koobideh; kebab kofta plate; kashmiri kofta; curry kofta
N76842,2,194,chicken dishes,chicken honey mustard rotisserie style wrap; bowl chicken honey mustard rotisserie style; breast chicken grilled; chicken grilled wrap; bowl chicken grilled; chicken grilled; chicken lemon; chicken piccata
N77151,2,39,roast beef sandwiches,beef bowl roast; dip french sandwich; beef classic roast; beef pound roast; classic dip french swiss; beef premium roast sub; steamer sub york; beef italian sandwich
N76513,2,39,noodle soup dishes,pasta pho; pho seafood; beef pho; mul myun naeng pasta; birria consome; beef noodle pasta soup spicy tendon; mul naengmyeon pasta; bulgogi noodle pasta soup
N75482,2,21,lamb wrap variations,lamb wrap; beef gyro lamb wrap; lamb pita wrap; borrego consome de; gyro lamb pita wrap; kathi lamb roll; beef kabab lamb wrap; beef lamb shawarma wrap
N76076,2,43,beef dishes,bulgogi; beef bulgogi; beef grilled sandwich; beef free gluten mongolian; basil beef; bul gi go; beef shaking; bo lac luc
N76479,2,33,beef roast sandwiches,beef roast sandwich sub; beef gyro roast sandwich; beef provolone roast sub; beef roast sandwich slider; beef jalapeno roast sandwich slider; beef hot roast sandwich; beef original roast sandwich; beef melt roast sandwich
N76134,2,40,brisket barbecue dishes,brisket chili frito pie stack; brisket burnt ends plate; brisket plate smoked; brisket scramble; bowl brisket cheese egg; beef brisket plate; brisket plate sliced; bbq beef plate
N77169,2,220,burger varieties,burger classic; burger chili; beef cheddar classic; beef cheddar pound; burger cheeseburger pound quarter; burger mushroom; bacon burger cheddar; burger jack texas
N73523,2,17,beef stew dishes,carne guisada plate; guisada plate; meat stew taco; alicha beef; carne con guisada huevos; breakfast carne guisada taco; beef carne gravy guisada taco; beef rice stew white
N74192,2,5,beef tendon dishes,beef tendon; beef spicy tendon; beef mala tendon; beef marinaerd tendon; beef skewer tendon
N77451,2,109,beef vegetable dishes,beef peas snow; beef oyster sauce; beans beef string; bean beef black sauce; beef chinese vegetable; bean beef green; beef cha sha; beef sandwich
N74783,2,6,beef intestine dishes,beef intestine; beef intestine taco; beef daechang grilled gui intestine; beef intestine marinated; gopchang; beef hot intestine pot
N75671,2,52,beef stew dishes,birria taco; carne guisada taco; beef chilada platter; birria crunchy taco; birria burrito; birria quesa taco; birria plate; burrito carne guisada
N76160,2,15,lamb shank dishes,lamb shank; braised lamb shank; lamb platter shank; biryani lamb shank; lamb nihari shank; baghali lamb polo shank; broiled lamb shank; borrego chamorro de
N77032,2,47,beef dishes,beef curry; beef curry onion; beef kebab; awaze tibs; besiga gomen; goden tibs; beef tikka; beef curry karahi
N77517,2,54,tripe dishes,taco tripa; taco tripitas; torta tripa; quesadilla tripa; tripa; dulet; burrito tripas; beef taco tripe
N75373,2,11,suadero dishes,suadero taco; quesadilla suadero; de suadero taco; suadero torta; burrito suadero; gringa suadero; de suadero torta; de sope suadero
N77227,2,22,beef head tacos,cabeza taco; cachete taco; beef head; beef cheek taco; beef gordita head; cabeza; cabeza de quesadilla; barbacoa plate street taco
N72258,2,8,bison dishes,bison burger; bison burger organic pesto; bbq bison meatloaf; bison burger chipotle; bbq bison burger; bison meatloaf; bison sandwich slider; bison burger house social
N77038,2,39,fried steak dishes,chicken fried steak; country fried steak; country eggs fried steak; chicken eggs fried steak; chicken fried plate steak; biscuit country fried steak; chicken fried luann steak; benedict chicken fried steak
N75769,2,13,oxtail dishes,oxtail stew; braised oxtails; oxtail plate; oxtails smothered; oxtail roti; oxtail pasta rasta; ox tails; baked ox tongue
N77518,2,57,beef soup dishes,birria; de res sopa; french onion soup; birria de res; bbq beef hawaiian; beef boiled hot sauce; beef noodle pasta soup szechuan; beef clay pot
N77203,2,71,lamb meat dishes,kabob kafta; burger lamb; burger gyro; kebab kofta sandwich; burger gyro sandwich; burger greek lamb; iskender kebab; lahmacun pizza
N77434,2,110,beef dishes,beef broccoli; beef teriyaki; beef mixed vegetables; beef sesame; beef vegetables; beef fajita quesadilla; beef scallops; beef korean noodles pasta spicy
N77399,2,14,beef broccoli dishes,beef broccoli gf; beef boiled spicy; beef broccoli lunch; beef broccoli entree; beef broccoli garlic sauce; beef hunan shredded style; broccoli steak; beef sauce simmered spicy
N77295,2,48,shredded beef dishes,barbacoa; beef chopped sandwich; barbacoa lb; beef shredded; beef garlic sauce shredded; cooked pot roast slow; barbecue taco; fork pot roast tender
N77129,2,32,Mexican meat snacks,de gorditas picadillo; beef sope; lengua sope; beef gordita tongue; asada carne sope; de gorditas lengua; huaraches lengua; asada de sope
N73273,2,6,beef medallion dishes,beef crusted gorgonzola medallions pasta; filet medallions; medallions tenderloin; filet medallions steak; beef medallions porto; beef madeira medallions
N76742,2,48,ground beef dishes,burger greek; kafta sandwich; kafta wrap; beef kabob roll seekh; beef kabab kofta; meatball panini sandwich; bun kabab; hummus meat
N77444,2,29,plant-based meat dishes,beyond bowl cabana meat; beyond meat shell soft taco; beyond crispy meat shell taco; beast burger impossible style; beyond taco; beyond guacamole taco; beyond burrito cali epic; beyond burrito epic loaded queso
N77448,2,43,corn based dishes,corn quesadilla; esquite; corn nuggets; elote en vaso; corn salad; atol de elote; con crema de elote tamales; cup elote tostitos
N70201,2,7,lamb rack dishes,lamb rack; chop lamb masala rack; grilled lamb rack; lamb rack steak; frenched lamb rack; australian lamb rack steak; jerk lamb rack
N77211,2,75,cheese bacon pizza,blt pizza; fig pizza prosciutto; mulberry pizza; cheese garlic pizza; bacon curds pizza wisconsin; cheese goat pizza; breakfast pizza; carbonara pizza
N77002,2,24,cheese steak sandwiches,cheese steak wrap; cheese firehouse steak sub; bread cheesesteak chipotle crunch sub sunflower; cheese panini sandwich steak; bistec con pan sandwich; philly taco; cheese pizza steak sub; bacon cheese steak sub
N75839,2,9,ham steak dishes,ham steak; eggs ham steak; grilled ham; bone ham steak; grilled ham steak; eggs ham steak two; eggs ham plate steak; center cut ham steak
N76279,2,16,lamb kebab dishes,kebab lamb; chenjeh kabob; boti kebab; kebab lamb plate; lamb leg; kebab lamb wrap; lamb tandoori; lega tibs yebeg
N76960,2,34,beef dishes,cali fresh steak wrap; eggs steak; avocado bowl cali fresh sliced steak; grilled steak; beef pasta; bites steak; mushrooms steak; beef charbroiled
N77335,2,61,beef shawarma dishes,beef sandwich shawarma; beef shawarma wrap; beef gyro sandwich; beef gyro platter; beef gyro lamb sandwich; beef lamb sandwich shawarma; arabi beef shawarma; beef lamb plate shawarma
N77407,2,74,steak and meat pizzas,philly pizza; pizza steak sub; meatball pizza signature; calzone steak stromboli; cheese pizza steak; calzone steak; calzone meat stromboli; pizza stuffed
N77468,2,48,mexican beef dishes,machacado taco; burrito machaca; barbacoa quesadilla; breakfast burrito machaca; burrito cabeza; birria de quesadilla; barbacoa huevos rancheros; carne la mexicana taco
N77489,2,92,brisket dishes,brisket smokehouse; brisket plate; beef brisket; brisket sandwich sliced; bbq beef sandwich; brisket classic sandwich; brisket burger smokehouse; brisket chicken fried
N75293,2,67,nachos dishes,nachos; bellgrande nachos; nachos supreme; loaded nachos; beef ground nachos; nachos super; beef nachos; beef chips ground queso seasoned
N75137,2,23,corned beef hash dishes,beef corned eggs hash; beef corned hash; beef breakfast corned eggs hash; beef cheese corned sandwich; beef corned hash skillet; beef corned eggs hash two; beef corned hash homemade; beef corned hash omelet
N77350,2,41,flatbread pizza varieties,flatbread pepperoni pizza; flatbread pepperoni pizza sausage; melt pepperoni; extreme flatbread pepperoni pizza; mushroom portobello sandwich; pizza puff; roll sushi zucchini; pizza portobello
N75968,2,58,meat and cheese pizzas,bacon cheeseburger pizza; calzone meat; meatball pizza; calzone meatball; lasagna pizza; cheeseburger pizza; bacon cheeseburger jalapeno pizza; bacon burger pizza
N77031,2,59,shredded beef dishes,beef enchiladas; beef bowl burrito shredded spicy; beef burrito shredded; beef enchilada shredded; beef chimichanga; beef burrito del; beef chimichanga shredded; carne de deshebrada enmoladas
N77022,2,34,grilled meat dishes,eater meat pizza; fajita parrillada; for parrillada two; familiar parrillada; fajita mixta parilla; la parrillada; parrillada tapatia; la parrilla steak
N77497,2,52,beef dishes,beef chop suey; beef plate shawarma; beef chicken gyro platter; beef wrap; de milanesa res torta; beef salad shawarma; beef kabab roll; beef breaded torta
